TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1573206273399	0.000000	0.000000	-0.146496	1.000000	0.000000	0.000000	0.000094	img__0_1573206273788298800.png
1573206273486	0.000000	0.000000	-0.146496	1.000000	0.000000	0.000000	0.000094	img__0_1573206273877509400.png
1573206273576	0.000000	0.000000	-0.146496	1.000000	0.000000	0.000000	0.000094	img__0_1573206273966524100.png
1573206273663	0.000001	0.000002	-0.146758	1.000000	0.000438	-0.000340	0.000126	img__0_1573206274054158400.png
1573206273753	0.000053	0.000068	-0.152977	0.999999	0.000860	-0.000691	0.000337	img__0_1573206274144042700.png
1573206273843	0.000223	0.000284	-0.168898	0.999999	0.001120	-0.000897	0.000696	img__0_1573206274231973000.png
1573206273930	0.000539	0.000680	-0.194299	0.999998	0.001255	-0.001006	0.001142	img__0_1573206274321483800.png
1573206274023	0.001067	0.001342	-0.234428	0.999997	0.001335	-0.001069	0.001694	img__0_1573206274411987800.png
1573206274113	0.001778	0.002234	-0.286716	0.999996	0.001378	-0.001102	0.002281	img__0_1573206274503962000.png
1573206274206	0.002727	0.003424	-0.354860	0.999994	0.001402	-0.001120	0.002925	img__0_1573206274595425700.png
1573206274296	0.003845	0.004828	-0.430034	0.999992	0.001415	-0.001129	0.003574	img__0_1573206274686157300.png
1573206274389	0.005193	0.006520	-0.509397	0.999987	0.001422	-0.001134	0.004706	img__0_1573206274779468100.png
1573206274479	0.006673	0.008381	-0.583854	0.999959	0.001424	-0.001139	0.008837	img__0_1573206274870404200.png
1573206274572	0.008380	0.010531	-0.656042	0.999827	0.001423	-0.001144	0.018502	img__0_1573206274962417900.png
1573206274665	0.010264	0.012909	-0.722554	0.999439	0.001424	-0.001144	0.033433	img__0_1573206275053841500.png
1573206274758	0.012321	0.015517	-0.783294	0.998619	0.001430	-0.001137	0.052500	img__0_1573206275146411700.png
1573206274848	0.014472	0.018266	-0.836668	0.997262	0.001440	-0.001124	0.073923	img__0_1573206275239519900.png
1573206274944	0.016932	0.021447	-0.887824	0.995086	0.001455	-0.001102	0.098995	img__0_1573206275334451100.png
1573206275040	0.019553	0.024890	-0.933095	0.992253	0.001476	-0.001072	0.124222	img__0_1573206275431723100.png
