TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1557312883591	0.000000	0.000000	-0.146496	1.000000	0.000000	0.000000	0.000137	img__0_1557312886946105000.png
1557312883711	0.000000	0.000000	-0.146496	1.000000	0.000000	0.000000	0.000137	img__0_1557312887065285300.png
1557312883825	0.000000	0.000000	-0.146710	1.000000	0.000158	-0.000106	0.000143	img__0_1557312887177518100.png
1557312883936	0.000049	0.000064	-0.159010	0.999999	0.000834	-0.000673	0.000360	img__0_1557312887290117700.png
1557312884050	0.000295	0.000374	-0.197113	0.999999	0.001153	-0.000926	0.000824	img__0_1557312887404485500.png
1557312884164	0.000829	0.001045	-0.266161	0.999998	0.001300	-0.001042	0.001444	img__0_1557312887518881400.png
1557312884278	0.001693	0.002128	-0.367464	0.999996	0.001369	-0.001095	0.002163	img__0_1557312887632697700.png
1557312884392	0.002903	0.003646	-0.500299	0.999994	0.001401	-0.001120	0.002946	img__0_1557312887748006600.png
1557312884515	0.004595	0.005770	-0.673762	0.999991	0.001418	-0.001131	0.003836	img__0_1557312887867867200.png
1557312884629	0.006474	0.008132	-0.840692	0.999987	0.001425	-0.001135	0.004688	img__0_1557312887983218300.png
1557312884743	0.008632	0.010846	-1.003448	0.999983	0.001429	-0.001136	0.005555	img__0_1557312888098663300.png
1557312884860	0.011126	0.014616	-1.165420	0.998291	0.058063	-0.000786	0.006510	img__0_1557312888214463000.png
1557312884977	0.013706	0.033311	-1.314942	0.984178	0.177026	0.000005	0.007466	img__0_1557312888331075900.png
1557312885094	0.016116	0.089414	-1.435579	0.972099	0.234375	-0.006668	0.006925	img__0_1557312888450453200.png
1557312885217	0.019771	0.202433	-1.524720	0.965147	0.261027	-0.018115	0.005262	img__0_1557312888572454300.png
1557312885340	0.027662	0.382116	-1.572656	0.968812	0.245044	-0.036836	0.000722	img__0_1557312888694986200.png
1557312885463	0.043341	0.611519	-1.582198	0.989243	0.143664	-0.027522	-0.000707	img__0_1557312888817873500.png
1557312885583	0.067017	0.882579	-1.587372	0.997963	0.062460	-0.012952	0.000501	img__0_1557312888938851400.png
1557312885703	0.094932	1.173742	-1.604276	0.999636	0.026157	-0.006452	0.001726	img__0_1557312889057260400.png
1557312885820	0.124203	1.465621	-1.634971	0.999938	0.010135	-0.003574	0.002846	img__0_1557312889176062100.png
1557312885937	0.154578	1.760208	-1.680160	0.999986	0.002792	-0.002257	0.003900	img__0_1557312889292250400.png
1557312886054	0.185643	2.055152	-1.739742	0.999986	-0.000574	-0.001657	0.004908	img__0_1557312889409432500.png
1557312886171	0.217210	2.349377	-1.813524	0.999980	-0.002116	-0.001385	0.005883	img__0_1557312889525751700.png
1557312886291	0.250010	2.649908	-1.899268	0.999911	-0.011330	-0.001319	0.006852	img__0_1557312889644625300.png
1557312886405	0.281510	2.931442	-1.967119	0.994303	-0.106302	-0.001951	0.007614	img__0_1557312889760035500.png
1557312886522	0.314446	3.197123	-2.013462	0.985720	-0.168167	-0.002364	0.008414	img__0_1557312889876839800.png
1557312886642	0.349050	3.433580	-2.033867	0.996916	-0.077870	-0.001620	0.009562	img__0_1557312889998982400.png
1557312886765	0.385117	3.655219	-2.030349	0.999389	-0.033270	-0.001301	0.010610	img__0_1557312890121537200.png
1557312886885	0.420712	3.862399	-2.004595	0.999832	-0.014158	-0.001187	0.011584	img__0_1557312890240609400.png
1557312887002	0.455730	4.060567	-1.958668	0.999905	-0.005714	-0.001147	0.012517	img__0_1557312890358116300.png
1557312887125	0.492845	4.267083	-1.891027	0.999907	-0.001712	-0.001131	0.013491	img__0_1557312890477456000.png
1557312887239	0.528254	4.457592	-1.824687	0.998044	-0.014246	-0.059192	0.014230	img__0_1557312890595285100.png
1557312887362	0.586959	4.658196	-1.762935	0.982634	-0.043740	-0.179747	0.014458	img__0_1557312890717283600.png
1557312887482	0.700214	4.840916	-1.714248	0.969609	-0.056274	-0.237635	0.014839	img__0_1557312890836416900.png
1557312887593	0.871220	4.995073	-1.672774	0.963060	-0.061272	-0.261774	0.015337	img__0_1557312890949736200.png
1557312887695	1.090228	5.123034	-1.634122	0.960354	-0.067074	-0.270193	0.014755	img__0_1557312891050790400.png
1557312887791	1.349888	5.230764	-1.594173	0.977714	-0.052426	-0.202768	0.014548	img__0_1557312891145182500.png
1557312887887	1.648368	5.328755	-1.552702	0.993644	-0.026686	-0.108310	0.015110	img__0_1557312891244004200.png
1557312888010	2.061186	5.446968	-1.508546	0.998678	-0.010875	-0.047841	0.015327	img__0_1557312891364583800.png
1557312888130	2.479037	5.558716	-1.477573	0.999629	-0.004099	-0.021892	0.015693	img__0_1557312891485528100.png
1557312888247	2.892080	5.665916	-1.453534	0.998711	-0.048212	-0.003627	0.015462	img__0_1557312891603507500.png
1557312888364	3.304608	5.759222	-1.426480	0.988052	-0.147479	0.042888	0.012829	img__0_1557312891721194700.png
1557312888484	3.718196	5.821477	-1.389516	0.996713	-0.075733	0.025161	0.013931	img__0_1557312891839716400.png
1557312888601	4.113616	5.860860	-1.348712	0.999262	-0.033403	0.010783	0.015620	img__0_1557312891956827600.png
1557312888718	4.505161	5.890949	-1.301101	0.999596	-0.022294	0.004183	0.017104	img__0_1557312892073097500.png
1557312888832	4.884783	5.914285	-1.236993	0.995761	-0.090094	-0.000082	0.018525	img__0_1557312892188448200.png
1557312888949	5.273778	5.918104	-1.149335	0.982699	-0.184134	-0.003315	0.019648	img__0_1557312892304006600.png
1557312889066	5.663282	5.882140	-1.035300	0.988999	-0.146395	-0.003230	0.020968	img__0_1557312892423356200.png
1557312889189	6.073387	5.805307	-0.898044	0.997706	-0.063899	-0.001965	0.022282	img__0_1557312892544031200.png
1557312889303	6.453427	5.716598	-0.763084	0.999305	-0.029060	-0.001475	0.023299	img__0_1557312892660239800.png
1557312889420	6.843073	5.617771	-0.618489	0.999626	-0.012542	-0.001262	0.024275	img__0_1557312892776260300.png
1557312889534	7.222188	5.518355	-0.472538	0.998919	0.039034	-0.000066	0.025227	img__0_1557312892889578800.png
1557312889645	7.590182	5.431879	-0.331385	0.987475	0.155605	0.002846	0.025945	img__0_1557312893002314400.png
1557312889762	7.756333	5.420453	-0.282590	0.975636	0.217694	0.004458	0.026922	img__0_1557312893117967600.png
1557312889879	7.764213	5.450354	-0.389807	0.988682	0.147244	0.002479	0.028639	img__0_1557312893235948100.png
1557312889999	7.950854	5.526369	-0.475872	0.997321	0.066675	0.000386	0.030072	img__0_1557312893354584300.png
1557312890113	8.127078	5.621500	-0.580405	0.999004	0.031923	-0.000449	0.031185	img__0_1557312893469550200.png
1557312890227	8.302932	5.724449	-0.669910	0.999357	0.015711	-0.000813	0.032206	img__0_1557312893583910400.png
1557312890341	8.478628	5.830898	-0.738759	0.999416	0.008130	-0.000972	0.033180	img__0_1557312893696879900.png
1557312890452	8.649636	5.936257	-0.786395	0.999407	0.004646	-0.001040	0.034102	img__0_1557312893809181300.png
1557312890566	8.825253	6.045420	-0.815679	0.999381	0.002954	-0.001071	0.035030	img__0_1557312893921538500.png
1557312890677	8.996249	6.152273	-0.825231	0.999352	0.002176	-0.001083	0.035922	img__0_1557312894033803200.png
1557312890791	9.171868	6.262330	-0.815624	0.998852	-0.030612	-0.002279	0.036777	img__0_1557312894146144400.png
1557312890902	9.343425	6.362225	-0.786896	0.988465	-0.146678	-0.006557	0.037142	img__0_1557312894257209200.png
1557312891013	9.427408	6.394878	-0.762031	0.985943	-0.162530	-0.006997	0.038109	img__0_1557312894371222700.png
1557312891130	9.606915	6.434381	-0.689236	0.996548	-0.072523	-0.003609	0.040238	img__0_1557312894486846100.png
1557312891244	9.536076	6.368582	-0.789760	0.998503	-0.034469	0.010816	0.041071	img__0_1557312894601778000.png
1557312891358	9.620796	6.325816	-0.802388	0.991213	-0.046381	0.117438	0.039424	img__0_1557312894715859400.png
1557312891472	9.682445	6.272550	-0.791794	0.975731	-0.067426	0.204721	0.038633	img__0_1557312894830077600.png
1557312891583	9.702755	6.205772	-0.753453	0.966040	-0.075230	0.244180	0.038526	img__0_1557312894940666100.png
1557312891679	9.676846	6.204047	-0.808908	0.961552	-0.077710	0.260543	0.038673	img__0_1557312895037293800.png
1557312891766	9.677393	6.203406	-0.823495	0.968464	-0.066321	0.237057	0.038512	img__0_1557312895123662100.png
1557312891853	9.665433	6.195709	-0.818728	0.988666	-0.036010	0.140358	0.039261	img__0_1557312895209065700.png
1557312891964	9.610168	6.162562	-0.781985	0.996916	-0.016217	0.064895	0.041042	img__0_1557312895319987400.png
1557312892078	9.538928	6.124253	-0.723846	0.998674	-0.006668	0.028250	0.042510	img__0_1557312895433529600.png
1557312892189	9.463285	6.085178	-0.648616	0.998973	-0.002331	0.011576	0.043734	img__0_1557312895547656500.png
1557312892303	9.382989	6.044389	-0.552844	0.998987	-0.000240	0.003554	0.044861	img__0_1557312895660271600.png
1557312892417	9.427527	6.054705	-0.614431	0.998965	0.000624	0.000094	0.045473	img__0_1557312895774435300.png
1557312892528	9.388844	6.000238	-0.575691	0.998937	0.001134	-0.001737	0.046046	img__0_1557312895885913800.png
1557312892642	9.349464	5.944572	-0.516823	0.998903	0.001374	-0.002608	0.046745	img__0_1557312895999078800.png
1557312892756	9.310635	5.889246	-0.438920	0.998865	0.001486	-0.003011	0.047514	img__0_1557312896112134800.png
1557312892867	9.273442	5.835733	-0.345147	0.998826	0.001539	-0.003193	0.048307	img__0_1557312896225325800.png
1557312892981	9.235925	5.781157	-0.230899	0.998785	0.001566	-0.003280	0.049150	img__0_1557312896338449200.png
1557312893095	9.240408	5.787698	-0.245176	0.998766	0.000000	0.000000	0.049665	img__0_1557312896451799600.png
1557312893209	9.240408	5.787698	-0.245176	0.998766	0.000000	0.000000	0.049665	img__0_1557312896565117500.png
1557312893320	9.240408	5.787698	-0.245176	0.998766	0.000000	0.000000	0.049665	img__0_1557312896677689300.png
1557312893434	9.240408	5.787698	-0.245176	0.998766	0.000000	0.000000	0.049665	img__0_1557312896789883700.png
1557312893545	9.240408	5.787698	-0.245176	0.998766	0.000000	0.000000	0.049665	img__0_1557312896901918100.png
1557312893656	9.240180	5.787684	-0.246833	0.998276	-0.001037	0.031198	0.049710	img__0_1557312897012918300.png
1557312893773	9.222816	5.786139	-0.286880	0.985126	-0.007180	0.164411	0.049440	img__0_1557312897128747900.png
1557312893878	9.158936	5.780230	-0.367362	0.986686	-0.006483	0.154644	0.049945	img__0_1557312897235780100.png
1557312893989	9.060044	5.771079	-0.435280	0.996188	-0.002151	0.070795	0.050931	img__0_1557312897344956500.png
1557312894100	8.945930	5.760666	-0.482554	0.998119	-0.000210	0.032967	0.051688	img__0_1557312897456441300.png
1557312894211	8.824722	5.749822	-0.510614	0.998510	0.000699	0.015016	0.052452	img__0_1557312897569032500.png
1557312894325	8.696935	5.738656	-0.519884	0.998559	0.001129	0.006378	0.053271	img__0_1557312897682122900.png
1557312894439	8.567752	5.727658	-0.509475	0.998531	0.001325	0.002380	0.054117	img__0_1557312897795218700.png
1557312894550	8.441514	5.717204	-0.480494	0.998488	0.001412	0.000562	0.054958	img__0_1557312897907251700.png
1557312894664	8.312661	5.706866	-0.431476	0.994987	0.006039	-0.082952	0.055522	img__0_1557312898020337400.png
1557312894775	8.202539	5.698811	-0.363966	0.994405	0.006308	-0.089131	0.056339	img__0_1557312898132357300.png
1557312894889	8.109112	5.693047	-0.274445	0.997457	0.003677	-0.041989	0.057466	img__0_1557312898244742800.png
1557312895006	8.120561	5.693748	-0.285522	0.998308	0.000000	0.000000	0.058141	img__0_1557312898361745300.png
1557312895117	8.120561	5.693748	-0.285522	0.998308	0.000000	0.000000	0.058141	img__0_1557312898475568600.png
1557312895234	8.120561	5.693748	-0.285522	0.998308	0.000000	0.000000	0.058141	img__0_1557312898590566600.png
1557312895351	8.120561	5.693748	-0.285522	0.998308	0.000000	0.000000	0.058141	img__0_1557312898707631400.png
1557312895462	8.120561	5.693748	-0.285522	0.998308	0.000000	0.000000	0.058141	img__0_1557312898820759200.png
1557312895576	8.120561	5.693748	-0.285522	0.998308	0.000000	0.000000	0.058141	img__0_1557312898935036300.png
1557312895693	8.120561	5.693748	-0.285522	0.998308	0.000000	0.000000	0.058141	img__0_1557312899051146300.png
1557312895807	8.120561	5.693748	-0.285522	0.998308	0.000000	0.000000	0.058141	img__0_1557312899164014300.png
1557312895918	8.120561	5.693748	-0.285522	0.998308	0.000000	0.000000	0.058141	img__0_1557312899276763600.png
1557312896032	8.120561	5.693748	-0.285522	0.998308	0.000000	0.000000	0.058141	img__0_1557312899389774700.png
1557312896146	8.120561	5.693748	-0.285522	0.998308	0.000000	0.000000	0.058141	img__0_1557312899502812200.png
1557312896257	8.120561	5.693748	-0.285522	0.998308	0.000000	0.000000	0.058141	img__0_1557312899616214000.png
1557312896371	8.120561	5.693748	-0.285522	0.998308	0.000000	0.000000	0.058141	img__0_1557312899728976600.png
1557312896482	8.120561	5.693748	-0.285522	0.998308	0.000000	0.000000	0.058141	img__0_1557312899840168800.png
