TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1588266629853	0.000000	0.000001	-0.146623	1.000000	0.000356	-0.000256	0.000018	img__0_1588266633042364100.png
1588266629964	0.000076	0.000098	-0.164672	0.999999	0.000898	-0.000717	0.000069	img__0_1588266633154941000.png
1588266630069	0.000399	0.000503	-0.251574	0.999999	0.001164	-0.000934	0.000158	img__0_1588266633258529500.png
1588266630174	0.001051	0.001321	-0.409850	0.999999	0.001297	-0.001040	0.000272	img__0_1588266633365351900.png
1588266630288	0.002163	0.002711	-0.653986	0.999998	0.001367	-0.001095	0.000416	img__0_1588266633475318400.png
1588266630396	0.003485	0.004365	-0.891580	0.999998	0.001398	-0.001119	0.000563	img__0_1588266633585411300.png
1588266630507	0.005053	0.006327	-1.110714	0.999998	0.001414	-0.001131	0.000723	img__0_1588266633696978100.png
1588266630618	0.006839	0.008560	-1.304829	0.999998	0.001422	-0.001137	0.000888	img__0_1588266633807002900.png
1588266630726	0.008793	0.011005	-1.473114	0.999925	0.001415	-0.001152	0.012122	img__0_1588266633916858900.png
1588266630837	0.011027	0.013803	-1.626883	0.997784	0.001390	-0.001183	0.066505	img__0_1588266634026489300.png
1588266630948	0.013500	0.016926	-1.770276	0.987022	0.001380	-0.001177	0.160578	img__0_1588266634137556500.png
1588266631065	0.016344	0.020615	-1.918250	0.957856	0.001405	-0.001104	0.287245	img__0_1588266634254425900.png
1588266631179	0.019278	0.024614	-2.056046	0.908424	0.001464	-0.000962	0.418046	img__0_1588266634369050900.png
1588266631296	0.022350	0.029103	-2.176067	0.859679	0.001572	-0.000736	0.510832	img__0_1588266634485923400.png
1588266631413	0.025387	0.033974	-2.273035	0.823901	0.001672	-0.000516	0.566731	img__0_1588266634604468500.png
1588266631533	0.028384	0.039359	-2.349155	0.798872	0.001742	-0.000333	0.601498	img__0_1588266634721592600.png
1588266631656	0.031267	0.045268	-2.403148	0.782131	0.001784	-0.000195	0.623111	img__0_1588266634845862300.png
1588266631779	0.033913	0.051556	-2.433159	0.771464	0.001807	-0.000100	0.636271	img__0_1588266634968189000.png
1588266631899	0.036239	0.058041	-2.439512	0.764854	0.001818	-0.000038	0.644201	img__0_1588266635088909100.png
1588266632025	0.038390	0.065211	-2.421883	0.760475	0.001823	0.000005	0.649364	img__0_1588266635214283800.png
1588266632145	0.040151	0.072378	-2.382057	0.757842	0.001826	0.000031	0.652436	img__0_1588266635335402800.png
1588266632265	0.041622	0.079869	-2.319993	0.765059	0.001826	0.000069	0.643958	img__0_1588266635456872200.png
1588266632388	0.042824	0.087887	-2.234818	0.805725	0.001820	0.000123	0.592287	img__0_1588266635579901300.png
1588266632514	0.043726	0.096495	-2.134962	0.869110	0.001803	0.000113	0.494615	img__0_1588266635703319800.png
1588266632631	0.044318	0.104863	-2.026807	0.928492	0.001776	0.000020	0.371348	img__0_1588266635820969200.png
1588266632754	0.044771	0.114069	-1.893686	0.976325	0.001730	-0.000151	0.216302	img__0_1588266635943999300.png
